commodity
Gur(Jaggery)
Tomato
Jowar(Sorghum)
Paddy(Dhan)(Common)
Onion
Lemon
Apple
Banana - Green
Bhindi(Ladies Finger)
Bitter gourd
Bottle gourd
Brinjal
Cabbage
Capsicum
Carrot
Cauliflower
Chikoos(Sapota)
Coriander(Leaves)
Cucumbar(Kheera)
Garlic
Ginger(Green)
Grapes
Green Chilli
Guar
Guava
Little gourd (Kundru)
Methi(Leaves)
Mousambi(Sweet Lime)
Orange
Papaya (Raw)
Potato
Pumpkin
Raddish
Sweet Potato
Cotton
Arhar (Tur/Red Gram)(Whole)
Bajra(Pearl Millet/Cumbu)
Castor Seed
Maize
Wheat
Bengal Gram(Gram)(Whole)
Groundnut
Green Gram (Moong)(Whole)
Guar Seed(Cluster Beans Seed)
"Sesamum(Sesame,Gingelly,Til)"
Banana
Black Gram (Urd Beans)(Whole)
Soyabean
Beetroot
Cowpea(Veg)
Drumstick
Elephant Yam (Suran)
French Beans (Frasbean)
Indian Beans (Seam)
Pegeon Pea (Arhar Fali)
Pointed gourd (Parval)
Ridge gourd(Tori)
Surat Beans (Papadi)
Turmeric (raw)
Yam (Ratalu)
Cummin Seed(Jeera)
Colacasia
Spinach
Ginger(Dry)
Kinnow
Leafy Vegetable
Papaya
Peas Wet
Pomegranate
Squash(Chappal Kadoo)
Pineapple
Indian Colza(Sarson)
Mashrooms
Persimon(Japani Fal)
Sponge gourd
Knool Khol
Amla(Nelli Kai)
Lotus Sticks
Round gourd
Season Leaves
Tender Coconut
Turnip
Water Melon
Beans
Chilly Capsicum
Green Avare (W)
Seemebadnekai
Snake gourd
Thogrikai
Alsandikai
Ashgourd
Bunch Beans
Lime
Suvarna Gadde
Thondekai
Arecanut(Betelnut/Supari)
Alasande Gram
Sunflower
Rice
Dry Chillies
Arhar Dal(Tur Dal)
Bengal Gram Dal (Chana Dal)
Black Gram Dal (Urd Dal)
Chili Red
Green Gram Dal (Moong Dal)
Methi Seeds
Mustard
Ragi (Finger Millet)
Tamarind Fruit
Amphophalus
Mango
Tapioca
Amaranthus
Black pepper
Cluster beans
Mango (Raw-Ripe)
Field Pea
Galgal(Lemon)
Coconut Oil
Copra
Coconut
Rubber
Coconut Seed
Cowpea (Lobia/Karamani)
Nutmeg
Duster Beans
Coffee
Pepper ungarbled
Kabuli Chana(Chickpeas-White)
Seetafal
Cardamoms
Cashewnuts
Corriander seed
Ghee
Green Peas
Ground Nut Seed
Lentil (Masur)(Whole)
Masur Dal
Soanf
Sugar
Turmeric
Hippe Seed
Mint(Pudina)
Fish
Peas cod
Moath Dal
Isabgul (Psyllium)
Taramira
Barley (Jau)
T.V. Cumbu
Wood
Paddy(Dhan)(Basmati)
White Peas
Mustard Oil
Peas(Dry)
Sweet Pumpkin
Jute
