commodity
Tomato
Black Gram (Urd Beans)(Whole)
Lemon
Jowar(Sorghum)
Paddy(Dhan)(Common)
Bengal Gram(Gram)(Whole)
Maize
Onion
Tamarind Seed
Apple
Banana - Green
Bhindi(Ladies Finger)
Bitter gourd
Bottle gourd
Brinjal
Cabbage
Capsicum
Carrot
Cauliflower
Chikoos(Sapota)
Coriander(Leaves)
Cucumbar(Kheera)
Garlic
Ginger(Green)
Grapes
Green Chilli
Guar
Guava
Little gourd (Kundru)
Methi(Leaves)
Mousambi(Sweet Lime)
Orange
Papaya (Raw)
Potato
Pumpkin
Raddish
Sweet Potato
Groundnut
Arhar (Tur/Red Gram)(Whole)
Bajra(Pearl Millet/Cumbu)
Castor Seed
Cotton
Wheat
Spinach
Corriander seed
"Sesamum(Sesame,Gingelly,Til)"
Soyabean
Cummin Seed(Jeera)
Dry Chillies
Green Gram (Moong)(Whole)
Ground Nut Seed
Methi Seeds
Mustard
Cluster beans
Beetroot
Cowpea(Veg)
Elephant Yam (Suran)
French Beans (Frasbean)
Indian Beans (Seam)
Kartali (Kantola)
Pegeon Pea (Arhar Fali)
Pointed gourd (Parval)
Ridge gourd(Tori)
Surat Beans (Papadi)
Turmeric (raw)
Yam (Ratalu)
Guar Seed(Cluster Beans Seed)
Tinda
Banana
Colacasia
Pomegranate
Mashrooms
Peas cod
Pineapple
Papaya
Peas Wet
Indian Colza(Sarson)
Persimon(Japani Fal)
Sponge gourd
Squash(Chappal Kadoo)
Knool Khol
Beans
Green Avare (W)
Seemebadnekai
Snake gourd
Thogrikai
Arecanut(Betelnut/Supari)
Black pepper
Alsandikai
Ashgourd
Bunch Beans
Drumstick
Lime
Suvarna Gadde
Thondekai
Ragi (Finger Millet)
Amphophalus
Amaranthus
Mango
Tapioca
Field Pea
Mango (Raw-Ripe)
Ginger(Dry)
Cardamoms
Cloves
Coconut
Coconut Oil
Copra
Nutmeg
Rice
Rubber
Coconut Seed
Long Melon(Kakri)
Pepper ungarbled
Duster Beans
Coffee
Chilly Capsicum
Mint(Pudina)
Onion Green
Karbuja(Musk Melon)
Seetafal
Water Melon
Arhar Dal(Tur Dal)
Bengal Gram Dal (Chana Dal)
Black Gram Dal (Urd Dal)
Cowpea (Lobia/Karamani)
Green Gram Dal (Moong Dal)
Green Peas
Masur Dal
Sabu Dana
Amla(Nelli Kai)
Hippe Seed
Leafy Vegetable
Gur(Jaggery)
Turnip
Kinnow
Taramira
Lentil (Masur)(Whole)
Isabgul (Psyllium)
Moath Dal
Turmeric
T.V. Cumbu
Wood
Barley (Jau)
Ghee
Mustard Oil
Paddy(Dhan)(Basmati)
White Peas
Linseed
Peas(Dry)
Sweet Pumpkin
Jute
